panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-03-27T12:35:24.1752810+09:00,1774582524.175000,2026-03-27T12:35:24.6749110+09:00,1774582524.674000,0.499000,7.737100,1.467829,0.248800,0.000000,0.620059,0.000000,0.784555,-1.513560,0.088040,2.933313,0.004425,0.207916,-0.016975,-0.977989
AdPanel (1),2026-03-27T12:35:49.9768170+09:00,1774582549.976000,2026-03-27T12:35:50.9485480+09:00,1774582550.948000,0.972000,8.017839,1.169486,-2.289403,0.000000,0.683626,0.000000,0.729833,-0.601021,-1.010036,3.216167,-0.115042,0.133127,0.002277,-0.984397
AdPanel (1),2026-03-27T12:35:51.7819200+09:00,1774582551.781000,2026-03-27T12:35:53.0596940+09:00,1774582553.059000,1.278000,8.017839,1.169486,-2.289403,0.000000,0.683626,0.000000,0.729833,-0.485298,-0.782325,3.321165,-0.081917,0.137233,-0.014870,-0.987034
AdPanel (2),2026-03-27T12:37:58.3469290+09:00,1774582678.346000,2026-03-27T12:38:02.5822370+09:00,1774582682.582000,4.236000,-0.706739,1.264179,-2.852771,0.000000,0.823639,0.000000,-0.567114,-1.113672,-0.823622,3.477598,-0.093983,0.169042,-0.006309,-0.981098
AdPanel (2),2026-03-27T12:38:10.0120440+09:00,1774582690.012000,2026-03-27T12:38:11.1781180+09:00,1774582691.178000,1.166000,-0.706739,1.264179,-2.852771,0.000000,0.823639,0.000000,-0.567114,-2.854385,0.671603,2.424124,0.152023,0.363077,-0.080491,-0.915743
