panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel (1),2026-02-19T14:23:43.1480440+09:00,1771478623.148000,2026-02-19T14:23:43.8165970+09:00,1771478623.816000,0.668000,2.716403,1.581242,2.735272,0.000000,-0.308980,0.000000,-0.951068,-0.810084,1.345903,3.123825,-0.188626,-0.160019,0.002357,0.968921
AdPanel (1),2026-02-19T14:23:44.8468570+09:00,1771478624.846000,2026-02-19T14:23:45.7520200+09:00,1771478625.752000,0.906000,2.716403,1.581242,2.735272,0.000000,-0.308980,0.000000,-0.951068,1.132760,0.557412,3.511709,-0.078391,0.138804,-0.038261,0.986471
AdPanel (1),2026-02-19T14:23:46.0158900+09:00,1771478626.015000,2026-02-19T14:23:46.4204140+09:00,1771478626.420000,0.405000,2.716403,1.581242,2.735272,0.000000,-0.308980,0.000000,-0.951068,2.855445,0.183346,2.812258,-0.055810,0.342008,-0.075215,0.935018
AdPanel (1),2026-02-19T14:23:53.2128260+09:00,1771478633.212000,2026-02-19T14:23:53.5469540+09:00,1771478633.546000,0.334000,2.716403,1.581242,2.735272,0.000000,-0.308980,0.000000,-0.951068,2.918965,0.642707,2.712166,-0.150443,0.280797,-0.122125,0.940003
AdPanel,2026-02-19T14:25:08.1593950+09:00,1771478708.159000,2026-02-19T14:25:09.0499680+09:00,1771478709.049000,0.890000,-3.604904,1.550924,-2.059407,0.000000,0.909829,0.000000,-0.414983,-0.720297,1.440404,2.207530,-0.265272,-0.197745,-0.028791,0.943239
AdPanel,2026-02-19T14:25:09.8571600+09:00,1771478709.857000,2026-02-19T14:25:10.1494330+09:00,1771478710.149000,0.292000,-3.604904,1.550924,-2.059407,0.000000,0.909829,0.000000,-0.414983,-0.665268,1.300124,2.322245,-0.236342,-0.185094,-0.029591,0.953419
AdPanel,2026-02-19T14:25:10.6230490+09:00,1771478710.623000,2026-02-19T14:25:13.6578100+09:00,1771478713.657000,3.034000,-3.604904,1.550924,-2.059407,0.000000,0.909829,0.000000,-0.414983,1.088512,1.619162,1.978469,-0.327934,0.121494,-0.069978,0.934239
