panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-03-24T12:10:54.7055480+09:00,1774321854.705000,2026-03-24T12:10:59.7734300+09:00,1774321859.773000,5.068000,4.248248,1.354565,-6.482342,0.000000,0.902857,0.000000,0.429942,0.401529,-0.075304,2.704008,0.026698,0.067168,0.028926,0.996965
AdPanel,2026-03-24T12:11:00.2590010+09:00,1774321860.258000,2026-03-24T12:11:02.0077650+09:00,1774321862.007000,1.749000,4.248248,1.354565,-6.482342,0.000000,0.902857,0.000000,0.429942,0.381279,-0.205931,2.536284,0.054736,0.021777,0.036539,0.997594
AdPanel,2026-03-24T12:11:02.3684740+09:00,1774321862.368000,2026-03-24T12:11:03.2029690+09:00,1774321863.202000,0.834000,4.248248,1.354565,-6.482342,0.000000,0.902857,0.000000,0.429942,0.309528,-0.103057,2.551126,0.033810,0.001676,0.028005,0.999035
AdPanel (1),2026-03-24T12:11:19.2276430+09:00,1774321879.227000,2026-03-24T12:11:24.0749220+09:00,1774321884.074000,4.847000,-0.330623,1.412386,-8.493482,0.000000,0.986776,0.000000,-0.162088,-0.785324,0.003649,3.075334,0.009157,-0.123969,0.006437,0.992223
AdPanel (2),2026-03-24T12:14:02.1766620+09:00,1774322042.176000,2026-03-24T12:14:05.0378740+09:00,1774322045.037000,2.861000,-2.959576,1.015682,-2.249015,0.000000,0.619502,0.000000,-0.784996,4.004315,-1.180416,5.978897,-0.059543,-0.396790,0.019210,-0.915775
AdPanel (2),2026-03-24T12:14:06.8015430+09:00,1774322046.801000,2026-03-24T12:14:07.5097030+09:00,1774322047.509000,0.708000,-2.959576,1.015682,-2.249015,0.000000,0.619502,0.000000,-0.784996,-3.815149,-1.171832,6.064344,-0.062253,0.158726,-0.009671,-0.985311
