panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel (1),2026-03-18T14:36:51.4066740+09:00,1773812211.406000,2026-03-18T14:36:56.1010800+09:00,1773812216.101000,4.695000,8.213014,1.472772,-0.205856,0.000000,0.750013,0.000000,0.661423,0.184262,-0.023476,3.548102,-0.009975,-0.015298,-0.004124,-0.999825
AdPanel (1),2026-03-18T14:36:57.1420880+09:00,1773812217.142000,2026-03-18T14:36:57.9617070+09:00,1773812217.961000,0.819000,8.213014,1.472772,-0.205856,0.000000,0.750013,0.000000,0.661423,-0.381931,-0.631501,3.518050,-0.094045,0.060377,0.000977,-0.993735
AdPanel (1),2026-03-18T14:37:01.8641700+09:00,1773812221.864000,2026-03-18T14:37:02.4336620+09:00,1773812222.433000,0.569000,8.213014,1.472772,-0.205856,0.000000,0.750013,0.000000,0.661423,-2.574289,0.476883,2.173733,0.084509,0.357013,-0.031117,-0.929748
AdPanel (1),2026-03-18T14:37:05.0008340+09:00,1773812225.000000,2026-03-18T14:37:05.2781020+09:00,1773812225.278000,0.278000,8.213014,1.472772,-0.205856,0.000000,0.750013,0.000000,0.661423,1.328949,-0.440967,3.163415,-0.070532,-0.300612,0.034977,-0.950492
AdPanel (2),2026-03-18T14:37:20.5702380+09:00,1773812240.570000,2026-03-18T14:37:23.9305400+09:00,1773812243.930000,3.360000,7.928107,1.506118,-1.305511,0.000000,0.664255,0.000000,0.747506,-1.269111,0.339895,2.909025,0.029247,0.202311,0.062344,-0.976897
AdPanel (2),2026-03-18T14:37:25.0963050+09:00,1773812245.096000,2026-03-18T14:37:26.3056740+09:00,1773812246.305000,1.209000,7.928107,1.506118,-1.305511,0.000000,0.664255,0.000000,0.747506,-0.108592,0.281010,3.386563,0.027056,0.047673,0.014403,-0.998393
AdPanel (2),2026-03-18T14:37:34.8317940+09:00,1773812254.831000,2026-03-18T14:37:40.3866770+09:00,1773812260.386000,5.555000,7.928107,1.506118,-1.305511,0.000000,0.664255,0.000000,0.747506,-3.148177,0.058045,1.757957,-0.015411,0.511858,0.019725,-0.858705
AdPanel,2026-03-18T14:38:11.3399490+09:00,1773812291.339000,2026-03-18T14:38:14.1041520+09:00,1773812294.104000,2.765000,-0.210559,1.476811,-1.394772,0.000000,0.778589,0.000000,-0.627535,0.090499,0.145491,2.758518,0.018020,0.003717,0.056100,-0.998256
AdPanel,2026-03-18T14:38:21.7970020+09:00,1773812301.796000,2026-03-18T14:38:22.7970010+09:00,1773812302.796000,1.000000,-0.210559,1.476811,-1.394772,0.000000,0.778589,0.000000,-0.627535,-0.654121,-0.086949,2.722262,-0.023735,0.129116,-0.009264,-0.991302
AdPanel,2026-03-18T14:38:23.0747930+09:00,1773812303.074000,2026-03-18T14:38:23.6993860+09:00,1773812303.699000,0.625000,-0.210559,1.476811,-1.394772,0.000000,0.778589,0.000000,-0.627535,-0.598012,0.037362,2.725621,-0.002619,0.122006,-0.010218,-0.992474
