panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel (2),2026-03-13T12:06:18.7843150+09:00,1773371178.784000,2026-03-13T12:06:19.2154720+09:00,1773371179.215000,0.431000,2.969935,1.564136,-7.099748,0.000000,0.917936,0.000000,0.396727,-0.805171,0.643726,3.054043,0.086761,0.147221,0.036858,-0.984601
AdPanel (2),2026-03-13T12:06:19.6187190+09:00,1773371179.618000,2026-03-13T12:06:23.8583310+09:00,1773371183.858000,4.240000,2.969935,1.564136,-7.099748,0.000000,0.917936,0.000000,0.396727,-1.100842,-0.343142,3.006274,-0.066925,0.192401,0.046977,-0.977904
AdPanel (2),2026-03-13T12:06:25.3864840+09:00,1773371185.386000,2026-03-13T12:06:31.3517740+09:00,1773371191.351000,5.965000,2.969935,1.564136,-7.099748,0.000000,0.917936,0.000000,0.396727,-0.174197,-0.403017,3.094718,-0.070572,0.037365,0.024931,-0.996495
AdPanel (2),2026-03-13T12:06:31.6156720+09:00,1773371191.615000,2026-03-13T12:06:33.6484080+09:00,1773371193.648000,2.033000,2.969935,1.564136,-7.099748,0.000000,0.917936,0.000000,0.396727,-0.166280,-0.383767,3.095814,-0.067935,0.037127,0.030970,-0.996518
AdPanel (2),2026-03-13T12:06:34.4806370+09:00,1773371194.480000,2026-03-13T12:06:37.2460430+09:00,1773371197.246000,2.766000,2.969935,1.564136,-7.099748,0.000000,0.917936,0.000000,0.396727,-1.465417,-0.222300,2.891272,-0.049682,0.250536,0.048907,-0.965594
AdPanel,2026-03-13T12:07:29.0535190+09:00,1773371249.053000,2026-03-13T12:07:33.0856490+09:00,1773371253.085000,4.032000,-1.782843,1.575380,-7.426614,0.000000,0.998454,0.000000,-0.055592,-1.563007,-0.017435,2.266325,-0.021968,0.352245,0.042521,-0.934684
AdPanel,2026-03-13T12:07:34.3911060+09:00,1773371254.391000,2026-03-13T12:07:36.8204020+09:00,1773371256.820000,2.429000,-1.782843,1.575380,-7.426614,0.000000,0.998454,0.000000,-0.055592,-1.197858,-0.037144,2.469985,-0.023295,0.284821,0.053321,-0.956813
AdPanel (1),2026-03-13T12:08:34.4512700+09:00,1773371314.451000,2026-03-13T12:08:35.7566120+09:00,1773371315.756000,1.305000,-0.853072,1.575817,-0.375249,0.000000,0.459808,0.000000,-0.888018,0.215754,-0.251930,3.175398,-0.042455,-0.011844,0.053030,-0.997620
AdPanel (1),2026-03-13T12:08:37.5611310+09:00,1773371317.561000,2026-03-13T12:08:38.0191640+09:00,1773371318.019000,0.458000,-0.853072,1.575817,-0.375249,0.000000,0.459808,0.000000,-0.888018,1.359920,-0.259777,2.869365,-0.028288,-0.189857,0.081274,-0.978033
AdPanel (1),2026-03-13T12:08:38.5608250+09:00,1773371318.560000,2026-03-13T12:08:39.7828090+09:00,1773371319.782000,1.222000,-0.853072,1.575817,-0.375249,0.000000,0.459808,0.000000,-0.888018,1.349549,-0.148057,2.748342,-0.022357,-0.114417,0.032327,-0.992655
AdPanel (1),2026-03-13T12:08:41.3246890+09:00,1773371321.324000,2026-03-13T12:08:41.9915850+09:00,1773371321.991000,0.667000,-0.853072,1.575817,-0.375249,0.000000,0.459808,0.000000,-0.888018,1.604954,-0.105319,2.681509,-0.013099,-0.069936,0.031045,-0.996982
AdPanel (1),2026-03-13T12:08:46.2550890+09:00,1773371326.255000,2026-03-13T12:08:47.3244410+09:00,1773371327.324000,1.069000,-0.853072,1.575817,-0.375249,0.000000,0.459808,0.000000,-0.888018,-0.050879,0.246155,3.131319,0.037838,0.242813,0.033070,-0.968771
AdPanel (1),2026-03-13T12:08:49.7955120+09:00,1773371329.795000,2026-03-13T12:08:50.7258600+09:00,1773371330.725000,0.930000,-0.853072,1.575817,-0.375249,0.000000,0.459808,0.000000,-0.888018,0.977664,-0.289868,2.996439,-0.038617,0.090627,0.045075,-0.994115
