panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel (1),2026-03-03T11:44:58.7054890+09:00,1772505898.705000,2026-03-03T11:45:08.3984770+09:00,1772505908.398000,9.693000,-1.301426,1.632589,-1.104347,0.000000,0.742714,0.000000,-0.669609,-0.148060,1.484693,2.840400,-0.228045,-0.045078,-0.005245,0.972593
AdPanel,2026-03-03T11:45:13.9121760+09:00,1772505913.912000,2026-03-03T11:45:17.9391580+09:00,1772505917.939000,4.027000,1.731190,1.638769,-4.846271,0.000000,0.999088,0.000000,-0.042697,-1.046020,0.465522,2.443147,-0.096114,-0.186510,0.081848,0.974309
AdPanel (2),2026-03-03T11:46:31.2050940+09:00,1772505991.205000,2026-03-03T11:46:34.1356840+09:00,1772505994.135000,2.930000,7.710782,1.627193,0.651518,0.000000,0.627026,0.000000,0.778999,-0.658515,2.086513,2.544923,-0.317391,-0.119332,0.020260,0.940538
AdPanel (2),2026-03-03T11:46:37.1071830+09:00,1772505997.107000,2026-03-03T11:46:37.8713290+09:00,1772505997.871000,0.764000,7.710782,1.627193,0.651518,0.000000,0.627026,0.000000,0.778999,-2.480068,1.268437,2.159250,-0.251690,-0.344661,0.149901,0.891847
AdPanel (2),2026-03-03T11:46:47.3006800+09:00,1772506007.300000,2026-03-03T11:46:50.0369550+09:00,1772506010.036000,2.736000,7.710782,1.627193,0.651518,0.000000,0.627026,0.000000,0.778999,-1.478909,1.781600,3.118541,-0.256113,-0.073893,0.051179,0.962459
