panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-03-04T15:19:22.2782660+09:00,1772605162.278000,2026-03-04T15:19:25.8054240+09:00,1772605165.805000,3.527000,7.929203,1.592990,-1.009949,0.000000,0.698808,0.000000,0.715310,0.791103,0.745132,2.477997,0.133563,-0.144567,0.039563,-0.979641
AdPanel,2026-03-04T15:19:28.8044820+09:00,1772605168.804000,2026-03-04T15:19:29.0407400+09:00,1772605169.040000,0.236000,7.929203,1.592990,-1.009949,0.000000,0.698808,0.000000,0.715310,-1.431614,0.217407,2.449986,0.031448,0.275707,-0.010171,-0.960673
AdPanel (1),2026-03-04T15:20:24.1436030+09:00,1772605224.143000,2026-03-04T15:20:26.3796440+09:00,1772605226.379000,2.236000,2.333044,1.588532,-6.068576,0.000000,0.999732,0.000000,0.023148,-1.227480,0.591062,2.929202,-0.094749,-0.188525,0.044740,0.976463
AdPanel (1),2026-03-04T15:20:27.2403250+09:00,1772605227.240000,2026-03-04T15:20:31.3369040+09:00,1772605231.336000,4.096000,2.333044,1.588532,-6.068576,0.000000,0.999732,0.000000,0.023148,-0.651209,0.122749,3.135716,-0.013668,-0.107086,-0.003392,0.994150
AdPanel (1),2026-03-04T15:20:36.2105250+09:00,1772605236.210000,2026-03-04T15:20:37.4048560+09:00,1772605237.404000,1.194000,2.333044,1.588532,-6.068576,0.000000,0.999732,0.000000,0.023148,1.254149,0.780976,2.961761,-0.112279,0.105752,-0.029306,0.987599
AdPanel (1),2026-03-04T15:20:39.2806190+09:00,1772605239.280000,2026-03-04T15:20:40.8492950+09:00,1772605240.849000,1.569000,2.333044,1.588532,-6.068576,0.000000,0.999732,0.000000,0.023148,1.268051,1.759646,2.098874,-0.327532,0.009231,-0.036290,0.944098
AdPanel (1),2026-03-04T15:20:42.1135560+09:00,1772605242.113000,2026-03-04T15:20:42.9468110+09:00,1772605242.946000,0.833000,2.333044,1.588532,-6.068576,0.000000,0.999732,0.000000,0.023148,2.342130,2.023642,1.269555,-0.395987,0.198889,-0.015673,0.896321
