panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-03-04T11:50:14.4627660+09:00,1772592614.462000,2026-03-04T11:50:15.8267440+09:00,1772592615.826000,1.364000,6.361198,1.430263,-4.477784,0.000000,0.941988,0.000000,0.335647,-0.621059,0.023301,2.928556,-0.002816,0.122648,0.001349,-0.992445
AdPanel,2026-03-04T11:50:16.2305160+09:00,1772592616.230000,2026-03-04T11:50:17.3300480+09:00,1772592617.330000,1.100000,6.361198,1.430263,-4.477784,0.000000,0.941988,0.000000,0.335647,2.624539,-0.532757,1.613971,-0.102922,-0.444434,0.000795,-0.889879
AdPanel,2026-03-04T11:50:18.4997280+09:00,1772592618.499000,2026-03-04T11:50:19.1680480+09:00,1772592619.168000,0.669000,6.361198,1.430263,-4.477784,0.000000,0.941988,0.000000,0.335647,-0.623651,-0.414183,2.886730,-0.071106,0.155566,-0.005141,-0.985250
AdPanel,2026-03-04T11:50:22.6897420+09:00,1772592622.689000,2026-03-04T11:50:23.4974100+09:00,1772592623.497000,0.808000,6.361198,1.430263,-4.477784,0.000000,0.941988,0.000000,0.335647,-3.111332,-0.390996,0.317937,-0.051874,0.722341,-0.041682,-0.688328
AdPanel (2),2026-03-04T11:50:38.9041730+09:00,1772592638.904000,2026-03-04T11:50:40.7987830+09:00,1772592640.798000,1.894000,7.986017,1.478584,2.222903,0.000000,-0.498294,0.000000,-0.867008,-0.444353,-0.166271,3.429327,-0.037642,0.075822,-0.003860,-0.996403
AdPanel (2),2026-03-04T11:50:45.0597870+09:00,1772592645.059000,2026-03-04T11:50:46.5902380+09:00,1772592646.590000,1.531000,7.986017,1.478584,2.222903,0.000000,-0.498294,0.000000,-0.867008,-2.996243,-0.050052,2.569490,0.022604,0.364304,-0.079058,-0.927643
AdPanel (1),2026-03-04T11:51:27.5589460+09:00,1772592687.558000,2026-03-04T11:51:29.6326590+09:00,1772592689.632000,2.074000,0.512915,1.455755,-1.113242,0.000000,0.923724,0.000000,-0.383060,0.585077,0.185150,3.080102,-0.026430,0.093344,-0.057158,0.993641
AdPanel (1),2026-03-04T11:51:30.4261420+09:00,1772592690.426000,2026-03-04T11:51:31.7628670+09:00,1772592691.762000,1.336000,0.512915,1.455755,-1.113242,0.000000,0.923724,0.000000,-0.383060,1.176543,-0.041634,2.739932,0.016898,0.116441,-0.009289,0.993011
AdPanel (1),2026-03-04T11:51:32.8621590+09:00,1772592692.862000,2026-03-04T11:51:34.0595560+09:00,1772592694.059000,1.197000,0.512915,1.455755,-1.113242,0.000000,0.923724,0.000000,-0.383060,0.973865,-0.026376,2.019505,0.014526,-0.050858,-0.008563,0.998564
AdPanel (1),2026-03-04T11:51:34.6578820+09:00,1772592694.657000,2026-03-04T11:51:43.6645250+09:00,1772592703.664000,9.007000,0.512915,1.455755,-1.113242,0.000000,0.923724,0.000000,-0.383060,0.685977,-0.280265,2.116703,0.033479,-0.179779,-0.089145,0.979087
AdPanel (1),2026-03-04T11:51:43.9288110+09:00,1772592703.928000,2026-03-04T11:51:44.2637910+09:00,1772592704.263000,0.335000,0.512915,1.455755,-1.113242,0.000000,0.923724,0.000000,-0.383060,0.287530,-0.302215,2.144538,0.018578,-0.298799,-0.142142,0.943488
AdPanel (1),2026-03-04T11:51:44.5975380+09:00,1772592704.597000,2026-03-04T11:51:45.3207440+09:00,1772592705.320000,0.723000,0.512915,1.455755,-1.113242,0.000000,0.923724,0.000000,-0.383060,0.263699,-0.313201,2.056117,0.042175,-0.294925,-0.106327,0.948649
AdPanel (1),2026-03-04T11:51:45.8220640+09:00,1772592705.822000,2026-03-04T11:51:46.6574040+09:00,1772592706.657000,0.835000,0.512915,1.455755,-1.113242,0.000000,0.923724,0.000000,-0.383060,0.429860,-0.434807,2.069687,-0.013628,-0.299464,-0.240539,0.923188
