panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-03-06T15:51:15.9334150+09:00,1772779875.933000,2026-03-06T15:51:20.3638110+09:00,1772779880.363000,4.430000,-0.003424,1.176780,-1.481880,0.000000,0.855541,0.000000,-0.517736,0.807512,-0.196298,2.318424,-0.016446,-0.066880,-0.001559,0.997624
AdPanel,2026-03-06T15:51:21.0439210+09:00,1772779881.043000,2026-03-06T15:51:21.6828510+09:00,1772779881.682000,0.639000,-0.003424,1.176780,-1.481880,0.000000,0.855541,0.000000,-0.517736,-0.010971,0.353375,2.167712,-0.139951,-0.371699,0.024781,0.917409
AdPanel,2026-03-06T15:51:25.1408890+09:00,1772779885.140000,2026-03-06T15:51:25.9323750+09:00,1772779885.932000,0.792000,-0.003424,1.176780,-1.481880,0.000000,0.855541,0.000000,-0.517736,0.717529,-0.345911,1.857817,0.007928,-0.336951,-0.013734,0.941389
AdPanel,2026-03-06T15:51:31.6398220+09:00,1772779891.639000,2026-03-06T15:51:33.4741190+09:00,1772779893.474000,1.835000,-0.003424,1.176780,-1.481880,0.000000,0.855541,0.000000,-0.517736,0.666680,0.521822,1.962371,-0.152794,-0.295395,0.092831,0.938498
AdPanel (1),2026-03-06T15:51:59.3721960+09:00,1772779919.372000,2026-03-06T15:52:00.0761570+09:00,1772779920.076000,0.704000,3.612525,1.469030,-6.640961,0.000000,0.964128,0.000000,0.265437,-0.348187,-0.005417,3.299031,-0.000371,-0.106501,0.011690,0.994244
AdPanel (1),2026-03-06T15:52:01.0105240+09:00,1772779921.010000,2026-03-06T15:52:01.4414860+09:00,1772779921.441000,0.431000,3.612525,1.469030,-6.640961,0.000000,0.964128,0.000000,0.265437,0.916638,-0.280739,3.219087,0.043124,0.076774,0.012579,0.996036
AdPanel (1),2026-03-06T15:52:02.5105390+09:00,1772779922.510000,2026-03-06T15:52:03.2045130+09:00,1772779923.204000,0.694000,3.612525,1.469030,-6.640961,0.000000,0.964128,0.000000,0.265437,-0.223095,0.150540,3.006702,-0.024096,-0.106998,0.043280,0.993025
AdPanel (1),2026-03-06T15:52:12.6345540+09:00,1772779932.634000,2026-03-06T15:52:12.9675950+09:00,1772779932.967000,0.333000,3.612525,1.469030,-6.640961,0.000000,0.964128,0.000000,0.265437,-0.978598,-0.075817,2.817270,0.009922,-0.319428,0.014627,0.947446
AdPanel (1),2026-03-06T15:52:18.3687910+09:00,1772779938.368000,2026-03-06T15:52:18.7438570+09:00,1772779938.743000,0.375000,3.612525,1.469030,-6.640961,0.000000,0.964128,0.000000,0.265437,0.099214,-0.030150,3.108531,0.001509,-0.046131,-0.017068,0.998789
AdPanel (2),2026-03-06T15:52:44.1984900+09:00,1772779964.198000,2026-03-06T15:52:45.6710020+09:00,1772779965.670000,1.472000,7.176914,1.467169,-2.367216,0.000000,0.665547,0.000000,0.746356,0.225645,-0.347846,3.377105,0.048423,-0.007306,0.001893,0.998799
AdPanel (2),2026-03-06T15:52:47.7396100+09:00,1772779967.739000,2026-03-06T15:52:48.3093400+09:00,1772779968.309000,0.570000,7.176914,1.467169,-2.367216,0.000000,0.665547,0.000000,0.746356,0.034101,-0.120384,3.395468,0.017367,-0.037024,0.035657,0.998527
AdPanel (2),2026-03-06T15:52:49.0034340+09:00,1772779969.003000,2026-03-06T15:52:49.5736370+09:00,1772779969.573000,0.570000,7.176914,1.467169,-2.367216,0.000000,0.665547,0.000000,0.746356,-0.368151,-0.042787,3.367023,0.004034,-0.092227,0.027325,0.995355
AdPanel (2),2026-03-06T15:52:51.0022900+09:00,1772779971.002000,2026-03-06T15:52:53.1700340+09:00,1772779973.170000,2.168000,7.176914,1.467169,-2.367216,0.000000,0.665547,0.000000,0.746356,0.699813,-0.488745,3.446364,0.062615,0.136029,0.014445,0.988619
AdPanel (2),2026-03-06T15:52:53.8781980+09:00,1772779973.878000,2026-03-06T15:52:54.3361580+09:00,1772779974.336000,0.458000,7.176914,1.467169,-2.367216,0.000000,0.665547,0.000000,0.746356,-1.167503,0.972962,3.179323,-0.149559,-0.111333,0.039990,0.981651
AdPanel (2),2026-03-06T15:52:57.4042300+09:00,1772779977.404000,2026-03-06T15:52:57.6687050+09:00,1772779977.668000,0.264000,7.176914,1.467169,-2.367216,0.000000,0.665547,0.000000,0.746356,-0.800444,0.560176,3.371240,-0.083472,-0.068494,0.009470,0.994108
AdPanel (2),2026-03-06T15:52:59.7084560+09:00,1772779979.708000,2026-03-06T15:53:02.0417020+09:00,1772779982.041000,2.333000,7.176914,1.467169,-2.367216,0.000000,0.665547,0.000000,0.746356,-0.814292,0.612437,3.301261,-0.089816,-0.085289,-0.009576,0.992254
AdPanel (2),2026-03-06T15:53:02.5348860+09:00,1772779982.534000,2026-03-06T15:53:03.2182590+09:00,1772779983.218000,0.684000,7.176914,1.467169,-2.367216,0.000000,0.665547,0.000000,0.746356,0.372740,0.520984,3.436232,-0.076081,0.079736,-0.024886,0.993597
