panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-03-06T16:54:50.4934630+09:00,1772783690.493000,2026-03-06T16:54:53.0271710+09:00,1772783693.027000,2.534000,1.110093,1.399334,-1.210347,0.000000,0.935591,0.000000,-0.353087,-0.387080,0.220341,2.443028,-0.043974,-0.318292,0.007795,0.946940
AdPanel,2026-03-06T16:54:54.4604970+09:00,1772783694.460000,2026-03-06T16:54:55.4629420+09:00,1772783695.462000,1.002000,1.110093,1.399334,-1.210347,0.000000,0.935591,0.000000,-0.353087,-0.746353,0.196018,2.458872,-0.034522,-0.360011,0.045610,0.931193
AdPanel,2026-03-06T16:55:00.8211710+09:00,1772783700.821000,2026-03-06T16:55:01.7964300+09:00,1772783701.796000,0.975000,1.110093,1.399334,-1.210347,0.000000,0.935591,0.000000,-0.353087,0.794604,0.008371,2.473170,-0.043014,-0.238861,-0.064099,0.967981
AdPanel (2),2026-03-06T16:55:59.2870640+09:00,1772783759.287000,2026-03-06T16:55:59.7610920+09:00,1772783759.761000,0.474000,8.344375,1.204852,-0.449714,0.000000,0.566524,0.000000,0.824045,-0.512192,-0.014548,3.311174,-0.029358,-0.187301,-0.002551,0.981861
AdPanel (2),2026-03-06T16:56:00.0900870+09:00,1772783760.090000,2026-03-06T16:56:01.5282730+09:00,1772783761.528000,1.438000,8.344375,1.204852,-0.449714,0.000000,0.566524,0.000000,0.824045,-0.438814,0.172644,3.318833,-0.055401,-0.178876,0.016597,0.982170
AdPanel (2),2026-03-06T16:56:04.9249250+09:00,1772783764.924000,2026-03-06T16:56:07.1246470+09:00,1772783767.124000,2.200000,8.344375,1.204852,-0.449714,0.000000,0.566524,0.000000,0.824045,1.008802,0.367395,2.899397,-0.106545,-0.091158,-0.011052,0.990059
