panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel (2),2026-03-15T16:53:35.8515690+09:00,1773561215.851000,2026-03-15T16:53:41.0174020+09:00,1773561221.017000,5.166000,-0.748075,1.469879,1.451470,0.000000,0.774490,0.000000,-0.632587,-0.607052,-0.053465,3.442850,0.019684,-0.119855,0.018437,0.992425
AdPanel (2),2026-03-15T16:53:48.2509370+09:00,1773561228.250000,2026-03-15T16:53:48.6117650+09:00,1773561228.611000,0.361000,-0.748075,1.469879,1.451470,0.000000,0.774490,0.000000,-0.632587,-0.692647,-0.374818,3.458577,0.066474,-0.136815,0.018384,0.988193
AdPanel (1),2026-03-15T16:54:42.1154460+09:00,1773561282.115000,2026-03-15T16:54:43.2138020+09:00,1773561283.213000,1.098000,3.677742,1.121716,-4.934988,0.000000,0.999779,0.000000,-0.021004,0.154209,0.800061,3.334079,0.150734,-0.018428,-0.022632,-0.988143
AdPanel (1),2026-03-15T16:54:50.5756980+09:00,1773561290.575000,2026-03-15T16:54:51.7552840+09:00,1773561291.755000,1.180000,3.677742,1.121716,-4.934988,0.000000,0.999779,0.000000,-0.021004,0.428011,-0.755604,3.406500,-0.074196,-0.042482,-0.055816,-0.994774
AdPanel (1),2026-03-15T16:54:52.1443440+09:00,1773561292.144000,2026-03-15T16:54:52.9775860+09:00,1773561292.977000,0.833000,3.677742,1.121716,-4.934988,0.000000,0.999779,0.000000,-0.021004,-1.740364,-0.543083,3.040735,-0.036317,0.262064,-0.012342,-0.964288
