panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-02-20T15:34:00.1814170+09:00,1771569240.181000,2026-02-20T15:34:02.9897010+09:00,1771569242.989000,2.808000,4.155084,1.511618,1.003061,0.000000,0.584739,0.000000,0.811221,-0.492630,0.425215,2.815672,-0.088378,-0.125979,0.057917,0.986390
AdPanel,2026-02-20T15:34:07.9199740+09:00,1771569247.919000,2026-02-20T15:34:08.1836050+09:00,1771569248.183000,0.264000,4.155084,1.511618,1.003061,0.000000,0.584739,0.000000,0.811221,0.667759,0.954107,2.530029,-0.188831,0.007423,-0.015046,0.981866
AdPanel,2026-02-20T15:34:12.8202690+09:00,1771569252.820000,2026-02-20T15:34:13.2510560+09:00,1771569253.251000,0.431000,4.155084,1.511618,1.003061,0.000000,0.584739,0.000000,0.811221,0.296003,0.710531,2.695079,-0.132738,-0.111595,0.040794,0.984004
AdPanel,2026-02-20T15:34:13.9169960+09:00,1771569253.916000,2026-02-20T15:34:14.1535510+09:00,1771569254.153000,0.237000,4.155084,1.511618,1.003061,0.000000,0.584739,0.000000,0.811221,0.319816,0.759152,2.675195,-0.141511,-0.106639,0.041180,0.983314
AdPanel,2026-02-20T15:34:16.9875610+09:00,1771569256.987000,2026-02-20T15:34:17.5848610+09:00,1771569257.584000,0.597000,4.155084,1.511618,1.003061,0.000000,0.584739,0.000000,0.811221,1.333786,0.596423,2.443218,-0.114274,0.055190,0.029891,0.991465
AdPanel (2),2026-02-20T15:34:42.4137780+09:00,1771569282.413000,2026-02-20T15:34:44.1217820+09:00,1771569284.121000,1.708000,-0.415066,1.551858,6.745259,0.000000,0.195237,0.000000,-0.980756,-0.145837,0.176341,3.501420,0.030231,0.059400,-0.088038,-0.993885
AdPanel (2),2026-02-20T15:34:45.1502190+09:00,1771569285.150000,2026-02-20T15:34:46.6779230+09:00,1771569286.677000,1.527000,-0.415066,1.551858,6.745259,0.000000,0.195237,0.000000,-0.980756,-1.285854,0.530196,3.225244,0.089346,0.223570,-0.054509,-0.969053
AdPanel (1),2026-02-20T15:35:12.8123060+09:00,1771569312.812000,2026-02-20T15:35:14.5468530+09:00,1771569314.546000,1.734000,-3.731461,1.576454,0.529248,0.000000,0.852801,0.000000,-0.522236,-1.057544,0.662736,3.199142,0.106417,0.183009,-0.076689,-0.974321
AdPanel (1),2026-02-20T15:35:19.2829000+09:00,1771569319.282000,2026-02-20T15:35:21.5465630+09:00,1771569321.546000,2.264000,-3.731461,1.576454,0.529248,0.000000,0.852801,0.000000,-0.522236,-0.590438,1.215711,2.963025,0.185492,0.185731,0.004122,-0.964925
AdPanel (1),2026-02-20T15:35:31.2816000+09:00,1771569331.281000,2026-02-20T15:35:32.1839980+09:00,1771569332.183000,0.902000,-3.731461,1.576454,0.529248,0.000000,0.852801,0.000000,-0.522236,0.069971,-0.126682,2.910627,-0.018699,0.166199,-0.012003,-0.985842
