panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-03-13T15:23:43.9831710+09:00,1773383023.983000,2026-03-13T15:23:46.3858150+09:00,1773383026.385000,2.402000,4.509069,1.538018,-5.038182,0.000000,0.998785,0.000000,0.049289,-3.365553,-0.362396,-0.044960,-0.040390,0.661795,-0.026627,-0.748122
AdPanel (2),2026-03-13T15:24:15.3535860+09:00,1773383055.353000,2026-03-13T15:24:22.6860880+09:00,1773383062.686000,7.333000,-0.434950,1.638857,-1.355525,0.000000,0.671145,0.000000,-0.741327,-2.609837,-0.049566,2.028798,-0.013434,0.389348,-0.009277,-0.920946
AdPanel (2),2026-03-13T15:24:28.1837150+09:00,1773383068.183000,2026-03-13T15:24:29.2810790+09:00,1773383069.281000,1.098000,-0.434950,1.638857,-1.355525,0.000000,0.671145,0.000000,-0.741327,-2.233520,0.440297,3.120328,0.039951,-0.065057,0.028774,-0.996666
