panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-02-21T11:38:26.3717740+09:00,1771641506.371000,2026-02-21T11:38:29.6358570+09:00,1771641509.635000,3.264000,7.905067,1.267135,-1.648693,0.000000,0.828811,0.000000,0.559529,-2.718573,-0.681741,1.188721,0.109973,-0.478351,0.001128,0.871255
AdPanel (1),2026-02-21T11:39:24.0031370+09:00,1771641564.003000,2026-02-21T11:39:27.5714830+09:00,1771641567.571000,3.568000,-0.430907,1.092062,-0.456967,0.000000,0.720753,0.000000,-0.693192,0.659293,-0.397228,3.685954,-0.012168,-0.132918,-0.021082,-0.990828
AdPanel (2),2026-02-21T11:40:13.3833910+09:00,1771641613.383000,2026-02-21T11:40:13.6340520+09:00,1771641613.634000,0.251000,8.264109,1.499107,2.368556,0.000000,0.605602,0.000000,0.795768,-1.927956,-0.785799,2.424917,-0.132548,0.322951,-0.019452,-0.936886
AdPanel (2),2026-02-21T11:40:13.8704410+09:00,1771641613.870000,2026-02-21T11:40:17.8274960+09:00,1771641617.827000,3.957000,8.264109,1.499107,2.368556,0.000000,0.605602,0.000000,0.795768,-2.726624,0.341674,2.155215,0.114644,0.392434,-0.162175,-0.898082
AdPanel (2),2026-02-21T11:40:22.4383520+09:00,1771641622.438000,2026-02-21T11:40:23.1604420+09:00,1771641623.160000,0.722000,8.264109,1.499107,2.368556,0.000000,0.605602,0.000000,0.795768,-2.286406,-0.881218,2.284480,-0.145764,0.281138,-0.029637,-0.948070
