panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel (2),2026-03-24T12:38:10.2578140+09:00,1774323490.257000,2026-03-24T12:38:10.4660400+09:00,1774323490.466000,0.209000,8.292191,1.279645,1.592697,0.000000,0.616201,0.000000,0.787589,-0.561947,-0.237710,3.441404,0.037793,-0.085981,-0.005634,0.995564
AdPanel,2026-03-24T12:38:26.9900060+09:00,1774323506.990000,2026-03-24T12:38:30.3871570+09:00,1774323510.387000,3.397000,7.783599,1.323349,-1.032597,0.000000,0.670338,0.000000,0.742056,0.292170,0.088709,2.700559,-0.005783,0.022527,-0.011236,0.999667
AdPanel,2026-03-24T12:38:32.7536240+09:00,1774323512.753000,2026-03-24T12:38:33.8532580+09:00,1774323513.853000,1.100000,7.783599,1.323349,-1.032597,0.000000,0.670338,0.000000,0.742056,-0.081922,0.245376,2.686287,-0.033136,-0.047272,-0.020607,0.998120
AdPanel (1),2026-03-24T12:39:56.6226420+09:00,1774323596.622000,2026-03-24T12:40:01.5917000+09:00,1774323601.591000,4.969000,-0.260244,1.336284,-2.442833,0.000000,0.821341,0.000000,-0.570437,0.030798,0.079742,3.290819,-0.003130,0.010423,0.012325,0.999865
AdPanel (1),2026-03-24T12:40:02.2882610+09:00,1774323602.288000,2026-03-24T12:40:02.6221470+09:00,1774323602.622000,0.334000,-0.260244,1.336284,-2.442833,0.000000,0.821341,0.000000,-0.570437,-0.262121,0.263367,3.271875,-0.031482,-0.027396,0.021282,0.998902
AdPanel (1),2026-03-24T12:40:07.5221210+09:00,1774323607.522000,2026-03-24T12:40:09.9580690+09:00,1774323609.958000,2.436000,-0.260244,1.336284,-2.442833,0.000000,0.821341,0.000000,-0.570437,-2.735502,-0.132391,2.910141,0.014817,-0.256569,0.023370,0.966130
