panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel (1),2026-03-10T14:23:25.7341720+09:00,1773120205.734000,2026-03-10T14:23:28.0670620+09:00,1773120208.067000,2.333000,-0.131236,0.996358,0.110044,0.000000,0.718853,0.000000,-0.695163,1.086995,-0.799640,3.218270,0.044942,0.132111,-0.053317,0.988779
AdPanel (1),2026-03-10T14:23:28.2893010+09:00,1773120208.289000,2026-03-10T14:23:29.5946410+09:00,1773120209.594000,1.305000,-0.131236,0.996358,0.110044,0.000000,0.718853,0.000000,-0.695163,0.605217,-0.399708,3.290272,-0.005479,-0.017926,-0.015007,0.999712
AdPanel (1),2026-03-10T14:23:33.5933620+09:00,1773120213.593000,2026-03-10T14:23:34.1353250+09:00,1773120214.135000,0.542000,-0.131236,0.996358,0.110044,0.000000,0.718853,0.000000,-0.695163,1.813372,-0.799301,2.630934,0.031068,0.090991,-0.062996,0.993372
AdPanel (1),2026-03-10T14:23:35.0943060+09:00,1773120215.094000,2026-03-10T14:23:36.1625660+09:00,1773120216.162000,1.068000,-0.131236,0.996358,0.110044,0.000000,0.718853,0.000000,-0.695163,-0.414795,0.631747,3.277869,-0.146252,-0.196516,0.021952,0.969283
AdPanel (1),2026-03-10T14:23:37.4262250+09:00,1773120217.426000,2026-03-10T14:23:38.1346300+09:00,1773120218.134000,0.708000,-0.131236,0.996358,0.110044,0.000000,0.718853,0.000000,-0.695163,1.407490,0.292240,2.978429,-0.131036,0.114089,-0.076266,0.981833
AdPanel,2026-03-10T14:24:56.1230840+09:00,1773120296.123000,2026-03-10T14:24:59.0953590+09:00,1773120299.095000,2.972000,3.951529,1.423592,-6.044952,0.000000,0.986446,0.000000,0.164084,-1.853616,0.002172,2.028491,-0.017169,-0.403464,0.059881,0.912873
AdPanel,2026-03-10T14:25:00.6917170+09:00,1773120300.691000,2026-03-10T14:25:02.3307530+09:00,1773120302.330000,1.639000,3.951529,1.423592,-6.044952,0.000000,0.986446,0.000000,0.164084,-0.843649,-0.167351,2.507047,0.035601,-0.225448,-0.032584,0.973059
