panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel (1),2026-03-23T18:05:40.7757860+09:00,1774256740.775000,2026-03-23T18:05:43.8385070+09:00,1774256743.838000,3.063000,-0.364224,1.306071,0.168263,0.000000,0.819479,0.000000,-0.573110,-0.917997,0.571782,3.062191,-0.091209,-0.147864,0.059391,0.983001
AdPanel (1),2026-03-23T18:05:46.6790040+09:00,1774256746.679000,2026-03-23T18:05:48.4738450+09:00,1774256748.473000,1.794000,-0.364224,1.306071,0.168263,0.000000,0.819479,0.000000,-0.573110,-0.373516,0.917706,3.103586,-0.136437,-0.072400,0.055178,0.986458
AdPanel (1),2026-03-23T18:05:56.2412650+09:00,1774256756.241000,2026-03-23T18:05:56.7984920+09:00,1774256756.798000,0.557000,-0.364224,1.306071,0.168263,0.000000,0.819479,0.000000,-0.573110,0.200317,1.105323,2.935261,-0.155694,-0.021549,-0.041252,0.986708
