panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-02-17T11:30:24.8400560+09:00,1771295424.840000,2026-02-17T11:30:28.8399890+09:00,1771295428.839000,3.999000,-5.918069,1.533725,-4.432955,0.000000,0.734675,0.000000,-0.678419,0.475602,0.369257,3.533346,-0.057721,0.081988,0.061287,0.993071
AdPanel,2026-02-17T11:30:31.3811570+09:00,1771295431.381000,2026-02-17T11:30:32.6448910+09:00,1771295432.644000,1.263000,-5.918069,1.533725,-4.432955,0.000000,0.734675,0.000000,-0.678419,0.551698,0.817482,2.854609,-0.140505,-0.018869,0.025818,0.989564
AdPanel,2026-02-17T11:30:36.8383420+09:00,1771295436.838000,2026-02-17T11:30:38.0047400+09:00,1771295438.004000,1.166000,-5.918069,1.533725,-4.432955,0.000000,0.734675,0.000000,-0.678419,-1.491464,-0.063976,2.860576,-0.006776,-0.281028,0.038224,0.958914
AdPanel,2026-02-17T11:30:38.4071190+09:00,1771295438.407000,2026-02-17T11:30:38.7136940+09:00,1771295438.713000,0.306000,-5.918069,1.533725,-4.432955,0.000000,0.734675,0.000000,-0.678419,-1.839364,-0.228575,2.475124,0.013641,-0.315096,0.031196,0.948449
AdPanel,2026-02-17T11:30:39.2137280+09:00,1771295439.213000,2026-02-17T11:30:39.5878940+09:00,1771295439.587000,0.374000,-5.918069,1.533725,-4.432955,0.000000,0.734675,0.000000,-0.678419,-1.473281,0.318413,2.942919,-0.076940,-0.167481,0.055699,0.981289
AdPanel (2),2026-02-17T11:31:20.4709640+09:00,1771295480.470000,2026-02-17T11:31:22.1100720+09:00,1771295482.110000,1.640000,-1.130205,1.226113,0.118621,0.000000,0.010564,0.000000,-0.999944,-1.453487,0.092292,3.495369,-0.068875,-0.199888,0.030996,0.976904
AdPanel (2),2026-02-17T11:31:23.5396160+09:00,1771295483.539000,2026-02-17T11:31:24.3175140+09:00,1771295484.317000,0.778000,-1.130205,1.226113,0.118621,0.000000,0.010564,0.000000,-0.999944,-2.759474,0.522957,2.237968,-0.158431,-0.349753,0.031226,0.922820
AdPanel (2),2026-02-17T11:31:27.0810410+09:00,1771295487.081000,2026-02-17T11:31:27.8172660+09:00,1771295487.817000,0.736000,-1.130205,1.226113,0.118621,0.000000,0.010564,0.000000,-0.999944,-2.155824,0.708339,2.913636,-0.144309,-0.160376,-0.030569,0.975971
AdPanel (2),2026-02-17T11:31:34.4411020+09:00,1771295494.441000,2026-02-17T11:31:37.4408110+09:00,1771295497.440000,2.999000,-1.130205,1.226113,0.118621,0.000000,0.010564,0.000000,-0.999944,-1.470128,0.658477,3.407102,-0.151939,-0.031675,0.018211,0.987715
AdPanel (1),2026-02-17T11:32:40.3054740+09:00,1771295560.305000,2026-02-17T11:32:43.6532830+09:00,1771295563.653000,3.348000,1.251391,0.961321,-8.565499,0.000000,0.975127,0.000000,0.221649,-2.669674,0.338777,2.912722,-0.157575,-0.324245,0.069912,0.930133
AdPanel (1),2026-02-17T11:32:50.7074240+09:00,1771295570.707000,2026-02-17T11:32:50.9719310+09:00,1771295570.971000,0.264000,1.251391,0.961321,-8.565499,0.000000,0.975127,0.000000,0.221649,-0.286893,0.156513,4.211188,-0.094087,0.068928,0.006842,0.993151
