panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-02-18T14:21:46.4144800+09:00,1771392106.414000,2026-02-18T14:21:49.4351710+09:00,1771392109.435000,3.021000,-0.105275,1.537158,-0.579444,0.000000,0.113043,0.000000,-0.993590,0.045650,0.175178,2.569814,-0.032802,0.006968,-0.015265,0.999321
AdPanel,2026-02-18T14:21:51.2723990+09:00,1771392111.272000,2026-02-18T14:21:52.2058670+09:00,1771392112.205000,0.933000,-0.105275,1.537158,-0.579444,0.000000,0.113043,0.000000,-0.993590,2.262581,-0.581234,1.423054,0.165662,0.360711,0.057001,0.916076
AdPanel (2),2026-02-18T14:23:21.0451650+09:00,1771392201.045000,2026-02-18T14:23:28.1715850+09:00,1771392208.171000,7.126000,-6.654839,1.536615,-4.106040,0.000000,0.811071,0.000000,-0.584948,-0.336741,0.989425,3.146583,-0.144183,-0.051447,-0.003594,0.988206
AdPanel (2),2026-02-18T14:23:29.0070900+09:00,1771392209.007000,2026-02-18T14:23:32.7510310+09:00,1771392212.751000,3.744000,-6.654839,1.536615,-4.106040,0.000000,0.811071,0.000000,-0.584948,-1.374024,0.314256,3.121546,-0.035896,-0.167017,-0.021376,0.985068
AdPanel (2),2026-02-18T14:23:33.7529610+09:00,1771392213.752000,2026-02-18T14:23:34.8811000+09:00,1771392214.881000,1.129000,-6.654839,1.536615,-4.106040,0.000000,0.811071,0.000000,-0.584948,-1.218771,0.743627,3.265935,-0.112786,-0.104455,0.060345,0.986269
AdPanel (2),2026-02-18T14:23:35.5769670+09:00,1771392215.576000,2026-02-18T14:23:36.7740550+09:00,1771392216.774000,1.198000,-6.654839,1.536615,-4.106040,0.000000,0.811071,0.000000,-0.584948,-1.270035,0.882806,3.166039,-0.128572,-0.120736,0.032122,0.983799
AdPanel (1),2026-02-18T14:24:23.3100200+09:00,1771392263.310000,2026-02-18T14:24:24.7438150+09:00,1771392264.743000,1.433000,0.518667,1.529083,-8.383404,0.000000,0.974925,0.000000,0.222533,-0.071603,0.755972,3.096939,-0.111202,-0.022293,-0.027263,0.993174
AdPanel (1),2026-02-18T14:24:25.2454650+09:00,1771392265.245000,2026-02-18T14:24:26.5952180+09:00,1771392266.595000,1.350000,0.518667,1.529083,-8.383404,0.000000,0.974925,0.000000,0.222533,-0.556487,-0.091011,3.158846,0.020691,-0.090156,-0.049727,0.994470
AdPanel (1),2026-02-18T14:24:27.0827180+09:00,1771392267.082000,2026-02-18T14:24:28.9478570+09:00,1771392268.947000,1.865000,0.518667,1.529083,-8.383404,0.000000,0.974925,0.000000,0.222533,0.001779,0.370760,3.208320,-0.053469,-0.015805,-0.045369,0.997413
AdPanel (1),2026-02-18T14:24:29.8386170+09:00,1771392269.838000,2026-02-18T14:24:30.1865390+09:00,1771392270.186000,0.348000,0.518667,1.529083,-8.383404,0.000000,0.974925,0.000000,0.222533,-0.055935,0.576310,3.161779,-0.084191,-0.027037,-0.055502,0.994535
AdPanel (1),2026-02-18T14:24:41.2812550+09:00,1771392281.281000,2026-02-18T14:24:42.2138030+09:00,1771392282.213000,0.932000,0.518667,1.529083,-8.383404,0.000000,0.974925,0.000000,0.222533,-0.544251,0.459980,3.510105,-0.059510,-0.018412,0.001630,0.998057
