panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-03-02T14:34:12.8873230+09:00,1772429652.887000,2026-03-02T14:34:14.9886320+09:00,1772429654.988000,2.101000,3.866156,1.620124,-5.138450,0.000000,0.985865,0.000000,0.167540,-0.592857,0.411674,2.708324,0.077110,0.131606,-0.025031,-0.987981
AdPanel,2026-03-02T14:34:16.8551270+09:00,1772429656.855000,2026-03-02T14:34:18.5544400+09:00,1772429658.554000,1.699000,3.866156,1.620124,-5.138450,0.000000,0.985865,0.000000,0.167540,-0.392150,0.216537,2.744236,0.042652,0.089172,-0.025913,-0.994765
AdPanel,2026-03-02T14:34:20.0843830+09:00,1772429660.084000,2026-03-02T14:34:20.6138500+09:00,1772429660.613000,0.529000,3.866156,1.620124,-5.138450,0.000000,0.985865,0.000000,0.167540,-0.788411,0.542961,2.557001,0.102200,0.152784,-0.021292,-0.982730
AdPanel,2026-03-02T14:34:21.0450180+09:00,1772429661.045000,2026-03-02T14:34:23.4810730+09:00,1772429663.481000,2.436000,3.866156,1.620124,-5.138450,0.000000,0.985865,0.000000,0.167540,0.293183,0.066218,2.902456,0.017031,0.000365,0.018757,-0.999679
AdPanel,2026-03-02T14:34:24.9573000+09:00,1772429664.957000,2026-03-02T14:34:25.3472760+09:00,1772429665.347000,0.390000,3.866156,1.620124,-5.138450,0.000000,0.985865,0.000000,0.167540,1.377239,-0.140871,2.537485,-0.012317,-0.171356,0.030954,-0.984646
AdPanel,2026-03-02T14:34:26.8510860+09:00,1772429666.851000,2026-03-02T14:34:27.4496200+09:00,1772429667.449000,0.598000,3.866156,1.620124,-5.138450,0.000000,0.985865,0.000000,0.167540,1.044855,0.117704,2.564121,0.030053,0.024263,0.010682,-0.999197
AdPanel (2),2026-03-02T14:37:11.4856950+09:00,1772429831.485000,2026-03-02T14:37:13.2540110+09:00,1772429833.254000,1.769000,-0.292124,1.371797,-2.485500,0.000000,0.777125,0.000000,-0.629346,-0.580390,0.924576,3.270274,-0.172306,-0.074071,0.037746,0.981529
AdPanel (2),2026-03-02T14:37:14.7571420+09:00,1772429834.757000,2026-03-02T14:37:17.0541620+09:00,1772429837.054000,2.297000,-0.292124,1.371797,-2.485500,0.000000,0.777125,0.000000,-0.629346,-0.408986,0.784967,3.361212,-0.149602,-0.050687,0.037660,0.986728
