panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-02-23T11:53:18.5645780+09:00,1771815198.564000,2026-02-23T11:53:20.9673760+09:00,1771815200.967000,2.403000,5.878895,1.368889,-5.066143,0.000000,0.828361,0.000000,0.560195,0.014000,-0.378500,2.960574,-0.047864,0.034648,0.013513,-0.998161
AdPanel,2026-02-23T11:53:22.2026750+09:00,1771815202.202000,2026-02-23T11:53:25.0638070+09:00,1771815205.063000,2.861000,5.878895,1.368889,-5.066143,0.000000,0.828361,0.000000,0.560195,-0.403886,0.284285,2.927964,0.059261,0.102415,-0.024459,-0.992674
AdPanel,2026-02-23T11:53:26.8406860+09:00,1771815206.840000,2026-02-23T11:53:27.1328690+09:00,1771815207.132000,0.292000,5.878895,1.368889,-5.066143,0.000000,0.828361,0.000000,0.560195,-1.064826,0.446592,2.721504,0.094907,0.208315,-0.063360,-0.971382
AdPanel,2026-02-23T11:53:36.3678190+09:00,1771815216.367000,2026-02-23T11:53:36.9508770+09:00,1771815216.950000,0.583000,5.878895,1.368889,-5.066143,0.000000,0.828361,0.000000,0.560195,-0.482065,-0.023847,3.512573,0.007354,0.018243,0.000741,-0.999806
AdPanel (1),2026-02-23T11:54:31.4707970+09:00,1771815271.470000,2026-02-23T11:54:32.3315880+09:00,1771815272.331000,0.861000,-1.347894,1.454211,-7.393113,0.000000,0.951038,0.000000,-0.309074,-0.305684,0.505634,3.370531,0.071315,0.055970,0.008649,-0.995845
AdPanel (1),2026-02-23T11:54:33.3314260+09:00,1771815273.331000,2026-02-23T11:54:33.9289070+09:00,1771815273.928000,0.597000,-1.347894,1.454211,-7.393113,0.000000,0.951038,0.000000,-0.309074,-0.156166,-0.081458,3.432688,-0.011942,0.037993,0.000608,-0.999207
AdPanel (2),2026-02-23T11:55:49.9033060+09:00,1771815349.903000,2026-02-23T11:55:53.6668380+09:00,1771815353.666000,3.763000,0.379217,1.417205,0.777442,0.000000,0.404397,0.000000,-0.914583,-0.536674,0.860941,3.273285,0.129231,0.080822,-0.042349,-0.987408
AdPanel (2),2026-02-23T11:56:04.2066580+09:00,1771815364.206000,2026-02-23T11:56:04.8032190+09:00,1771815364.803000,0.597000,0.379217,1.417205,0.777442,0.000000,0.404397,0.000000,-0.914583,-1.345432,-0.040417,3.341515,-0.001517,0.249363,-0.003298,-0.968403
