panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel (1),2026-02-20T11:45:04.5353100+09:00,1771555504.535000,2026-02-20T11:45:07.7370020+09:00,1771555507.736000,3.201000,0.302413,1.521412,-8.136049,0.000000,0.963786,0.000000,0.266676,-0.179014,0.208717,3.188057,-0.023526,-0.043404,-0.016391,0.998646
AdPanel (1),2026-02-20T11:45:10.7995570+09:00,1771555510.799000,2026-02-20T11:45:11.4672180+09:00,1771555511.467000,0.668000,0.302413,1.521412,-8.136049,0.000000,0.963786,0.000000,0.266676,-2.929898,0.204147,1.911153,-0.017001,-0.513686,-0.010948,0.857740
AdPanel (1),2026-02-20T11:45:14.1680010+09:00,1771555514.167000,2026-02-20T11:45:17.7744340+09:00,1771555517.774000,3.607000,0.302413,1.521412,-8.136049,0.000000,0.963786,0.000000,0.266676,-3.050961,0.040356,1.306037,-0.029107,-0.582286,0.053907,0.810673
AdPanel,2026-02-20T11:47:49.1697510+09:00,1771555669.169000,2026-02-20T11:47:51.1755840+09:00,1771555671.175000,2.006000,-3.558085,1.517791,-1.487794,0.000000,0.440709,0.000000,-0.897650,-0.559964,0.205169,2.582725,0.027587,0.116080,0.009986,-0.992807
AdPanel,2026-02-20T11:47:51.6479120+09:00,1771555671.647000,2026-02-20T11:47:55.7417260+09:00,1771555675.741000,4.094000,-3.558085,1.517791,-1.487794,0.000000,0.440709,0.000000,-0.897650,-0.515189,0.750518,2.489204,0.131237,0.103439,-0.022704,-0.985678
AdPanel,2026-02-20T11:48:00.8781000+09:00,1771555680.878000,2026-02-20T11:48:03.6759120+09:00,1771555683.675000,2.797000,-3.558085,1.517791,-1.487794,0.000000,0.440709,0.000000,-0.897650,0.764349,0.029142,2.526921,0.001884,-0.129570,0.036720,-0.990888
AdPanel,2026-02-20T11:48:05.9445620+09:00,1771555685.944000,2026-02-20T11:48:06.2094090+09:00,1771555686.209000,0.265000,-3.558085,1.517791,-1.487794,0.000000,0.440709,0.000000,-0.897650,-1.651380,0.424676,2.457489,0.073506,0.314816,-0.047930,-0.945088
