panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-03-13T17:03:14.7943480+09:00,1773388994.794000,2026-03-13T17:03:15.7386060+09:00,1773388995.738000,0.944000,-1.644694,0.989782,-2.310806,0.000000,0.709218,0.000000,-0.704990,0.181382,-0.633450,3.259943,-0.045941,-0.028482,0.002842,-0.998534
AdPanel,2026-03-13T17:03:16.0026040+09:00,1773388996.002000,2026-03-13T17:03:17.1006070+09:00,1773388997.100000,1.098000,-1.644694,0.989782,-2.310806,0.000000,0.709218,0.000000,-0.704990,0.116962,-0.164252,3.312708,0.023588,-0.015322,0.000986,-0.999604
AdPanel,2026-03-13T17:03:18.1964420+09:00,1773388998.196000,2026-03-13T17:03:18.7383820+09:00,1773388998.738000,0.542000,-1.644694,0.989782,-2.310806,0.000000,0.709218,0.000000,-0.704990,0.453271,-0.307192,3.193657,0.005018,-0.068195,0.065538,-0.995505
AdPanel,2026-03-13T17:03:19.0024400+09:00,1773388999.002000,2026-03-13T17:03:19.6268210+09:00,1773388999.626000,0.624000,-1.644694,0.989782,-2.310806,0.000000,0.709218,0.000000,-0.704990,0.361613,-0.219326,3.241032,0.015813,-0.051476,0.048857,-0.997353
AdPanel (2),2026-03-13T17:04:57.4042860+09:00,1773389097.404000,2026-03-13T17:04:59.7651880+09:00,1773389099.765000,2.361000,-1.503066,1.284141,-6.000859,0.000000,0.925691,0.000000,-0.378280,1.292527,-1.133337,2.779162,-0.178350,-0.190212,-0.039987,-0.964578
AdPanel (2),2026-03-13T17:05:03.0698630+09:00,1773389103.069000,2026-03-13T17:05:12.6935130+09:00,1773389112.693000,9.624000,-1.503066,1.284141,-6.000859,0.000000,0.925691,0.000000,-0.378280,1.821429,0.712848,2.738070,0.119548,-0.266677,0.035516,-0.955683
AdPanel (1),2026-03-13T17:06:19.9058370+09:00,1773389179.905000,2026-03-13T17:06:24.6416180+09:00,1773389184.641000,4.736000,4.194262,1.315111,-6.276221,0.000000,0.999019,0.000000,0.044288,1.857028,-0.380982,2.538423,-0.076299,-0.315223,-0.031465,-0.945422
AdPanel (1),2026-03-13T17:06:25.1969150+09:00,1773389185.196000,2026-03-13T17:06:26.8621850+09:00,1773389186.862000,1.666000,4.194262,1.315111,-6.276221,0.000000,0.999019,0.000000,0.044288,0.789484,-1.368314,2.680140,-0.232889,-0.117057,-0.109220,-0.959235
AdPanel (1),2026-03-13T17:06:27.5285550+09:00,1773389187.528000,2026-03-13T17:06:28.5295550+09:00,1773389188.529000,1.001000,4.194262,1.315111,-6.276221,0.000000,0.999019,0.000000,0.044288,-2.426831,0.685566,1.857173,0.202252,0.382032,-0.173527,-0.884892
AdPanel (1),2026-03-13T17:06:31.9324350+09:00,1773389191.932000,2026-03-13T17:06:32.5013110+09:00,1773389192.501000,0.569000,4.194262,1.315111,-6.276221,0.000000,0.999019,0.000000,0.044288,1.728663,-0.480283,2.538265,-0.071810,-0.296978,0.021740,-0.951932
