panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel (2),2026-02-19T15:13:26.2916860+09:00,1771481606.291000,2026-02-19T15:13:28.7135040+09:00,1771481608.713000,2.422000,-4.511788,1.511687,0.355307,0.000000,0.685894,0.000000,-0.727702,-0.814940,0.530149,3.193801,-0.078952,-0.143137,0.061773,0.984613
AdPanel,2026-02-19T15:15:26.6875960+09:00,1771481726.687000,2026-02-19T15:15:31.5185000+09:00,1771481731.518000,4.831000,3.393287,1.518086,-1.069840,0.000000,0.692401,0.000000,0.721513,-1.293997,0.932196,2.634896,-0.159686,-0.211617,0.076241,0.961200
AdPanel (1),2026-02-19T15:16:29.8857000+09:00,1771481789.885000,2026-02-19T15:16:30.9164160+09:00,1771481790.916000,1.031000,0.654258,1.566978,-6.464034,0.000000,0.971013,0.000000,0.239026,-1.886355,0.975991,2.483932,-0.160964,-0.308667,0.083304,0.933743
AdPanel (1),2026-02-19T15:16:44.9201300+09:00,1771481804.920000,2026-02-19T15:16:45.2546670+09:00,1771481805.254000,0.334000,0.654258,1.566978,-6.464034,0.000000,0.971013,0.000000,0.239026,-0.786501,-0.534553,3.476071,0.081166,-0.121461,0.035742,0.988626
