panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-03-10T15:05:38.7765510+09:00,1773122738.776000,2026-03-10T15:05:40.9065690+09:00,1773122740.906000,2.130000,4.941679,1.623426,-5.853326,0.000000,0.983876,0.000000,0.178852,-0.396776,0.234131,2.760169,-0.039992,-0.086176,0.059841,0.993677
AdPanel,2026-03-10T15:05:41.1429180+09:00,1773122741.142000,2026-03-10T15:05:43.5095040+09:00,1773122743.509000,2.367000,4.941679,1.623426,-5.853326,0.000000,0.983876,0.000000,0.178852,-1.071223,0.523819,2.579377,-0.101558,-0.192343,0.082081,0.972601
AdPanel,2026-03-10T15:05:43.9408100+09:00,1773122743.940000,2026-03-10T15:05:45.3328800+09:00,1773122745.332000,1.392000,4.941679,1.623426,-5.853326,0.000000,0.983876,0.000000,0.178852,-1.197209,0.843404,2.350096,-0.174483,-0.204294,0.129375,0.954506
AdPanel,2026-03-10T15:05:46.0712050+09:00,1773122746.071000,2026-03-10T15:05:48.9105930+09:00,1773122748.910000,2.839000,4.941679,1.623426,-5.853326,0.000000,0.983876,0.000000,0.178852,-2.187467,-0.723764,2.429215,0.096932,-0.359521,0.052912,0.926579
AdPanel,2026-03-10T15:05:49.5646390+09:00,1773122749.564000,2026-03-10T15:05:50.1350730+09:00,1773122750.135000,0.571000,4.941679,1.623426,-5.853326,0.000000,0.983876,0.000000,0.178852,-0.367286,1.083300,2.830238,-0.175975,-0.031112,0.069636,0.981436
AdPanel,2026-03-10T15:05:53.9073270+09:00,1773122753.907000,2026-03-10T15:05:54.4090310+09:00,1773122754.409000,0.502000,4.941679,1.623426,-5.853326,0.000000,0.983876,0.000000,0.178852,0.380416,1.684232,2.524406,-0.272023,0.073819,0.024517,0.959142
AdPanel (1),2026-03-10T15:06:21.0659000+09:00,1773122781.065000,2026-03-10T15:06:24.4763460+09:00,1773122784.476000,3.411000,8.039989,1.633360,-1.444185,0.000000,0.704400,0.000000,0.709804,1.009910,0.398911,3.347861,-0.047079,0.118116,0.009112,0.991841
AdPanel (1),2026-03-10T15:06:25.4648080+09:00,1773122785.464000,2026-03-10T15:06:26.2447760+09:00,1773122786.244000,0.780000,8.039989,1.633360,-1.444185,0.000000,0.704400,0.000000,0.709804,0.499112,0.264930,3.466580,-0.028020,0.046207,0.011975,0.998467
AdPanel (1),2026-03-10T15:06:26.8706190+09:00,1773122786.870000,2026-03-10T15:06:27.1355370+09:00,1773122787.135000,0.265000,8.039989,1.633360,-1.444185,0.000000,0.704400,0.000000,0.709804,0.387944,0.142421,3.307605,-0.012134,0.022619,0.017411,0.999519
AdPanel (1),2026-03-10T15:06:27.4000570+09:00,1773122787.400000,2026-03-10T15:06:28.1658100+09:00,1773122788.165000,0.765000,8.039989,1.633360,-1.444185,0.000000,0.704400,0.000000,0.709804,-2.588695,-0.503831,1.991001,0.078468,-0.499630,0.019011,0.862468
AdPanel (2),2026-03-10T15:07:31.0016880+09:00,1773122851.001000,2026-03-10T15:07:34.2448670+09:00,1773122854.244000,3.243000,-0.085030,1.564379,-1.216355,0.000000,0.864342,0.000000,-0.502904,0.117585,-0.053642,3.640427,0.004421,-0.027105,0.012535,0.999544
AdPanel (2),2026-03-10T15:07:35.8460540+09:00,1773122855.846000,2026-03-10T15:07:43.8784310+09:00,1773122863.878000,8.032000,-0.085030,1.564379,-1.216355,0.000000,0.864342,0.000000,-0.502904,1.313407,0.111781,2.871984,-0.016561,0.046156,0.016017,0.998669
AdPanel (2),2026-03-10T15:07:44.9355870+09:00,1773122864.935000,2026-03-10T15:07:45.7019800+09:00,1773122865.701000,0.766000,-0.085030,1.564379,-1.216355,0.000000,0.864342,0.000000,-0.502904,0.857612,0.586307,2.416324,-0.126790,-0.134310,-0.003025,0.982790
AdPanel (2),2026-03-10T15:07:48.0817470+09:00,1773122868.081000,2026-03-10T15:07:49.2372050+09:00,1773122869.237000,1.156000,-0.085030,1.564379,-1.216355,0.000000,0.864342,0.000000,-0.502904,1.141022,0.684506,2.412847,-0.137179,-0.135751,0.017471,0.981045
