panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel,2026-02-17T13:31:48.2404200+09:00,1771302708.240000,2026-02-17T13:31:53.8635990+09:00,1771302713.863000,5.623000,0.572233,0.911071,-8.274076,0.000000,0.996355,0.000000,0.085301,-0.182193,0.153643,2.911588,0.035519,0.043080,-0.030092,-0.997987
AdPanel (2),2026-02-17T13:32:58.0082800+09:00,1771302778.008000,2026-02-17T13:33:02.0037900+09:00,1771302782.003000,3.995000,-1.913937,1.651866,-8.402390,0.000000,1.000000,0.000000,-0.000777,-0.185075,-0.046059,3.197636,-0.011266,0.035641,-0.028556,-0.998893
AdPanel (2),2026-02-17T13:33:02.5049050+09:00,1771302782.504000,2026-02-17T13:33:03.1737060+09:00,1771302783.173000,0.669000,-1.913937,1.651866,-8.402390,0.000000,1.000000,0.000000,-0.000777,0.349424,0.053211,3.169069,-0.000745,-0.047140,-0.061593,-0.996987
AdPanel (2),2026-02-17T13:33:12.3747040+09:00,1771302792.374000,2026-02-17T13:33:12.8754910+09:00,1771302792.875000,0.501000,-1.913937,1.651866,-8.402390,0.000000,1.000000,0.000000,-0.000777,0.247217,0.304425,3.202929,0.041481,-0.095877,-0.042405,-0.993624
AdPanel (2),2026-02-17T13:33:14.2398650+09:00,1771302794.239000,2026-02-17T13:33:14.4763740+09:00,1771302794.476000,0.237000,-1.913937,1.651866,-8.402390,0.000000,1.000000,0.000000,-0.000777,-1.161702,0.638268,2.931931,0.114791,0.111732,-0.089707,-0.983001
AdPanel (1),2026-02-17T13:35:26.6071750+09:00,1771302926.607000,2026-02-17T13:35:31.0339610+09:00,1771302931.033000,4.426000,-2.276689,1.641850,0.384871,0.000000,0.083617,0.000000,-0.996498,-0.485901,0.113549,3.129455,0.018781,0.081162,-0.068981,-0.994134
AdPanel (1),2026-02-17T13:35:39.9436010+09:00,1771302939.943000,2026-02-17T13:35:40.3751850+09:00,1771302940.375000,0.432000,-2.276689,1.641850,0.384871,0.000000,0.083617,0.000000,-0.996498,-1.174339,0.181011,3.030870,0.041768,0.099806,-0.067125,-0.991861
AdPanel (1),2026-02-17T13:35:44.8705840+09:00,1771302944.870000,2026-02-17T13:35:45.4270930+09:00,1771302945.427000,0.557000,-2.276689,1.641850,0.384871,0.000000,0.083617,0.000000,-0.996498,-0.334935,-0.527018,3.259339,-0.069919,-0.027794,-0.082853,-0.993717
