panel_name,start_iso,start_unix,end_iso,end_unix,duration_sec,panel_world_px,panel_world_py,panel_world_pz,panel_world_qx,panel_world_qy,panel_world_qz,panel_world_qw,panel_rel_px,panel_rel_py,panel_rel_pz,panel_rel_qx,panel_rel_qy,panel_rel_qz,panel_rel_qw
AdPanel (1),2026-03-28T14:24:19.2956250+09:00,1774675459.295000,2026-03-28T14:24:24.7391240+09:00,1774675464.739000,5.444000,-0.065551,1.420179,0.074353,0.000000,0.760137,0.000000,-0.649763,-0.348820,-0.270051,3.148360,-0.043692,0.100333,-0.035720,-0.993352
AdPanel (1),2026-03-28T14:24:25.3081510+09:00,1774675465.308000,2026-03-28T14:24:26.0996490+09:00,1774675466.099000,0.791000,-0.065551,1.420179,0.074353,0.000000,0.760137,0.000000,-0.649763,-0.606932,-0.352274,3.143452,-0.054261,0.139335,-0.032041,-0.988239
AdPanel (1),2026-03-28T14:24:27.0719030+09:00,1774675467.071000,2026-03-28T14:24:27.9332450+09:00,1774675467.933000,0.862000,-0.065551,1.420179,0.074353,0.000000,0.760137,0.000000,-0.649763,1.354093,-0.033585,2.783101,-0.006507,-0.175364,0.005059,-0.984469
AdPanel (1),2026-03-28T14:24:28.8629790+09:00,1774675468.862000,2026-03-28T14:24:29.8080770+09:00,1774675469.808000,0.946000,-0.065551,1.420179,0.074353,0.000000,0.760137,0.000000,-0.649763,1.682407,-0.195014,2.582380,-0.065440,-0.146688,-0.061029,-0.985127
AdPanel (1),2026-03-28T14:24:30.0990580+09:00,1774675470.099000,2026-03-28T14:24:30.5992710+09:00,1774675470.599000,0.500000,-0.065551,1.420179,0.074353,0.000000,0.760137,0.000000,-0.649763,1.947949,-0.117326,2.430409,-0.061438,-0.153832,-0.064158,-0.984096
AdPanel (1),2026-03-28T14:24:36.8615090+09:00,1774675476.861000,2026-03-28T14:24:37.7372950+09:00,1774675477.737000,0.876000,-0.065551,1.420179,0.074353,0.000000,0.760137,0.000000,-0.649763,1.154386,0.188045,2.564208,0.013325,0.025887,-0.036403,-0.998913
AdPanel (2),2026-03-28T14:25:29.9654980+09:00,1774675529.965000,2026-03-28T14:25:34.4370200+09:00,1774675534.437000,4.472000,5.104953,1.113907,-6.576303,0.000000,0.980754,0.000000,0.195246,-1.846195,-0.107392,2.986140,0.034840,0.269492,-0.042582,-0.961430
AdPanel (2),2026-03-28T14:25:36.2002610+09:00,1774675536.200000,2026-03-28T14:25:37.4642770+09:00,1774675537.464000,1.264000,5.104953,1.113907,-6.576303,0.000000,0.980754,0.000000,0.195246,-1.413421,-0.019235,3.610302,0.035867,0.147321,-0.020080,-0.988234
AdPanel,2026-03-28T14:26:47.1346930+09:00,1774675607.134000,2026-03-28T14:26:50.6070330+09:00,1774675610.607000,3.473000,7.528849,1.469492,0.446850,0.000000,-0.490433,0.000000,-0.871479,-0.545909,0.237309,2.736732,-0.027325,-0.110484,0.067216,0.991226
AdPanel,2026-03-28T14:26:53.3003030+09:00,1774675613.300000,2026-03-28T14:26:53.8979330+09:00,1774675613.897000,0.597000,7.528849,1.469492,0.446850,0.000000,-0.490433,0.000000,-0.871479,1.625066,-0.143013,2.373186,0.057602,0.235885,0.049049,0.968832
